de,uk,en,topic,level
Ich koche heute Abend Spaghetti.,Я готую спагетті сьогодні ввечері.,I am cooking spaghetti tonight.,Food & Cooking,A1
Die Orange ist nicht blau.,Апельсин не синій.,The orange is not blue.,Colors and Everyday Objects,A1
Der Zug fährt pünktlich ab.,Поїзд відправляється вчасно.,The train is leaving on time.,Public Transport,A1
Ich mag Äpfel und Erdbeeren.,Я люблю яблука та полуниці.,I like apples and strawberries.,Fruits and Vegetables Variety,A1
Mein Geburtstag ist im Sommer.,Мій день народження влітку.,My birthday is in summer.,Birthdays,A1
Wir essen im Wohnzimmer.,Ми їмо у вітальні.,We eat in the living room.,Rooms in the House and Apartment,A1
Das Auto fährt nach Berlin.,Машина їде до Берліна.,The car is driving to Berlin.,Travel & Transport,A1
Ich mag Pommes und Currywurst.,Я люблю картоплю фрі та карі-вурст.,I like fries and currywurst.,Fast Food,A1
Wie viel kostet die Gurke?,Скільки коштує огірок?,How much does the cucumber cost?,Grocery Prices,A1
Ich laufe jeden Morgen schnell.,Я бігаю щоранку швидко.,I run fast every morning.,Health & Fitness,A1
Ich träume von großen Reisen.,Я мрію про великі подорожі.,I dream of big travels.,Sleep & Dreams,A1
Sie spielt gern Tennis am Nachmittag.,Вона любить грати в теніс вдень.,She likes to play tennis in the afternoon.,Sports & Games,A1
Meine Freundin ist sehr nett.,Моя подруга дуже мила.,My girlfriend is very nice.,Friendship,A1
Wo finde ich frische Milch?,Де я можу знайти свіже молоко?,Where can I find fresh milk?,Shopping & Groceries,A1
Die Kirche ist sehr alt.,Церква дуже стара.,The church is very old.,City Objects and Places,A1
Ich kaufe Schuhe online nicht.,Я не купую взуття онлайн.,I don't buy shoes online.,Online Shopping,A1
Sie liest Bücher jeden Abend.,Вона читає книги щовечора.,She reads books every evening.,Books & Literature,A1
Das Fahrrad ist rot und schnell.,Велосипед червоний і швидкий.,The bicycle is red and fast.,Bicycles & Cycling,A1
Wie spät ist es jetzt?,Котра зараз година?,What time is it now?,Time of Day and Clocks,A1
Ich brauche Brot und Käse.,Мені потрібні хліб і сир.,I need bread and cheese.,Simple Shopping Items in Supermarket,A1
Am Morgen esse ich Brot.,Вранці я їм хліб.,"In the morning, I eat bread.",Time of Day and Food,A1
Die Ampel ist jetzt grün.,Світлофор зараз зелений.,The traffic light is green now.,City Objects and Places,A1
Wo ist mein neuer Rucksack?,Де мій новий рюкзак?,Where is my new backpack?,School Supplies and Office Items,A1
Ich tanze gern zu Musik.,Я люблю танцювати під музику.,I like to dance to music.,Hobbies & Free Time,A1
Mein bester Freund hilft mir.,Мій найкращий друг допомагає мені.,My best friend helps me.,Friends Descriptions and Activities,A1
Die Milch kostet zwei Euro.,Молоко коштує два євро.,The milk costs two euros.,Grocery Prices,A1
Ich fahre mit dem Fahrrad.,Я їду на велосипеді.,I am riding the bicycle.,Transport Variety and Vehicles,A1
Ich habe heute Geburtstag.,Сьогодні у мене день народження.,Today is my birthday.,Birthdays and Party Items,A1
Wir spielen nicht im Team.,Ми не граємо в команді.,We are not playing in a team.,Team Sports,A1
Mein Bruder ist sehr nett.,Мій брат дуже милий.,My brother is very nice.,Family & Relationships,A1
Ich schwimme im kalten Wasser.,Я плаваю в холодній воді.,I am swimming in cold water.,Swimming & Water Sports,A1
Heute ist das Wetter schön.,Сьогодні гарна погода.,Today the weather is nice.,Weather & Seasons,A1
Ich kaufe Obst und Gemüse.,Я купую фрукти та овочі.,I am buying fruits and vegetables.,Shopping & Groceries,A1
Ich möchte bitte Käse haben.,"Я хотів би, будь ласка, сир.","I would like to have cheese, please.",Simple Shopping Items in Supermarket,A1
Ich trinke Kaffee am Nachmittag.,Я п'ю каву вдень.,I drink coffee in the afternoon.,Coffee Culture,A1
Ich lese ein spannendes Buch.,Я читаю захоплюючу книгу.,I am reading an exciting book.,Hobbies besides Sports,A1
Das Auto ist sehr schnell.,Автомобіль дуже швидкий.,The car is very fast.,Driving & Cars,A1
Ich wohne in der Stadt.,Я живу в місті.,I live in the city.,City Life,A1
Der Wecker klingelt um sieben.,Будильник дзвонить о сьомій.,The alarm clock rings at seven.,Time of Day and Clocks,A1
Welche Farbe hat die Blume?,Якого кольору квітка?,What color is the flower?,Nature & Colors,A1
Das Auto fährt sehr schnell.,Автомобіль їде дуже швидко.,The car drives very fast.,Auto,A1
Ich spiele gern mit Freunden.,Я люблю грати з друзями.,I like to play with friends.,Hobbies & Free Time,A1
Das Restaurant hat leckeres Essen.,У ресторані смачна їжа.,The restaurant has delicious food.,Restaurants & Cafes,A1
Meine Familie ist sehr wichtig.,Моя сім'я дуже важлива.,My family is very important.,Family & Relationships,A1
Ich gehe oft ins Fitnessstudio.,Я часто ходжу у спортзал.,I often go to the gym.,Health & Fitness,A1
Das Fahrrad ist grün und neu.,Велосипед зелений і новий.,The bicycle is green and new.,Bicycles & Cycling,A1
Am Morgen trinke ich Kaffee.,Вранці я п'ю каву.,"In the morning, I drink coffee.",Time of Day and Clocks,A1
Der Bus ist pünktlich am Bahnhof.,Автобус вчасно на вокзалі.,The bus is on time at the station.,Public Transport,A1
Wir spielen zusammen im Team.,Ми граємо разом у команді.,We play together in a team.,Team Sports,A1
Ich kaufe Obst und Gemüse.,Я купую фрукти та овочі.,I buy fruits and vegetables.,Simple Shopping Items in Supermarket,A1
Ich lese gern ein spannendes Buch.,Я люблю читати захопливу книгу.,I like to read an exciting book.,Books & Literature,A1
Mein bester Freund hilft immer.,Мій найкращий друг завжди допомагає.,My best friend always helps.,Friends Descriptions and Activities,A1
Wir spielen oft lustige Spiele.,Ми часто граємо у веселі ігри.,We often play fun games.,Sports & Games,A1
Die Lieferung ist schnell da.,Доставка приїжджає швидко.,The delivery is here quickly.,Food Delivery,A1
Er sucht eine neue Arbeit.,Він шукає нову роботу.,He is looking for a new job.,Work & Career,A1
Das Bett steht im Schlafzimmer.,Ліжко стоїть у спальні.,The bed is in the bedroom.,Housing & Furniture,A1
Die Sonne scheint hell heute.,Сонце сяє яскраво сьогодні.,The sun is shining brightly today.,Nature Elements and Outdoors,A1
Mein Geburtstag ist im Juni.,Мій день народження в червні.,My birthday is in June.,Birthdays,A1
Mein Vater fährt gern Auto.,Мій тато любить водити машину.,My father likes to drive a car.,Driving & Cars,A1
Die Blume ist gelb und schön.,Квітка жовта і красива.,The flower is yellow and beautiful.,Colors and Everyday Objects,A1
Der Bleistift liegt auf dem Tisch.,Олівець лежить на столі.,The pencil is on the table.,School Supplies and Office Items,A1
Ich kaufe Milch im Supermarkt.,Я купую молоко в супермаркеті.,I buy milk at the supermarket.,Simple Shopping Items in Supermarket,A1
Er isst Pommes im Restaurant.,Він їсть картоплю фрі в ресторані.,He eats fries at the restaurant.,"Fast Food, Restaurants & Cafes",A1
Sie arbeitet in einem Büro.,Вона працює в офісі.,She works in an office.,Work & Career,A1
Mein Arm tut sehr weh.,Моя рука дуже болить.,My arm hurts a lot.,Body Parts and Descriptions,A1
Das Buch ist sehr interessant.,Книга дуже цікава.,The book is very interesting.,Books & Literature,A1
Das Auto fährt sehr schnell.,Автомобіль їде дуже швидко.,The car drives very fast.,Transport Variety and Vehicles,A1
Ich gehe jeden Tag laufen.,Я бігаю кожен день.,I go running every day.,Health & Fitness,A1
Mein Bett steht im Schlafzimmer.,Моє ліжко стоїть у спальні.,My bed is in the bedroom.,Housing & Furniture,A1
Ich stehe am Morgen früh auf.,Я встаю рано вранці.,I get up early in the morning.,Daily Routine,A1
Die Lampe steht auf dem Tisch.,Лампа стоїть на столі.,The lamp is on the table.,Furniture and Home Items,A1
Ich backe einen Kuchen mit Äpfeln.,Я печу пиріг з яблуками.,I am baking a cake with apples.,Baking,A1
Der Ball ist rot und groß.,М'яч червоний і великий.,The ball is red and big.,Colors and Everyday Objects,A1
Wir spielen Fußball im Park.,Ми граємо у футбол в парку.,We play soccer in the park.,Team Sports,A1
Heute ist das Wetter schön.,Сьогодні гарна погода.,The weather is nice today.,Weather & Seasons,A1
Ich träume oft komische Dinge.,Мені часто сняться дивні речі.,I often dream strange things.,Sleep & Dreams,A1
Wir kaufen Gemüse auf dem Markt.,Ми купуємо овочі на ринку.,We buy vegetables at the market.,Shopping & Groceries,A1
Sie schwimmt gern im See.,Вона любить плавати в озері.,She likes to swim in the lake.,Swimming & Water Sports,A1
"Wo ist der Radiergummi, bitte?","Де гумка, будь ласка?","Where is the eraser, please?",School Supplies and Office Items,A1
Ich trinke Saft am Morgen.,Я п'ю сік вранці.,I drink juice in the morning.,Simple Shopping Items in Supermarket,A1
Mein Wecker klingelt jeden Morgen früh.,Мій будильник дзвонить щоранку рано.,My alarm clock rings early every morning.,Daily Routine Items and Tools,A1
Der Apfel schmeckt sehr gut.,Яблуко дуже смачне.,The apple tastes very good.,Fruits and Vegetables Variety,A1
"Heute ist mein Geburtstag, super!","Сьогодні мій день народження, чудово!","Today is my birthday, great!",Birthdays,A1
Die Kartoffeln kosten zwei Euro.,Картопля коштує два євро.,The potatoes cost two euros.,Grocery Prices,A1
Meine Hose ist blau und neu.,Мої штани сині та нові.,My trousers are blue and new.,Clothes and Accessories,A1
Er läuft schnell im Park.,Він швидко бігає в парку.,He runs fast in the park.,Running,A1
Wir kaufen Brot und Käse.,Ми купуємо хліб і сир.,We are buying bread and cheese.,Shopping & Groceries,A1
Meine Oma liebt ihren Garten.,Моя бабуся любить свій сад.,My grandma loves her garden.,Family & Relationships,A1
Ich esse Kuchen im Café.,Я їм торт у кафе.,I am eating cake in the café.,Restaurants & Cafes,A1
Sie malt Bilder am Abend.,Вона малює картини ввечері.,She paints pictures in the evening.,Hobbies besides Sports,A1
Es ist halb zehn am Abend.,Зараз пів на десяту ввечері.,It is half past nine in the evening.,Time of Day and Clocks,A1
Meine Freundin hilft mir immer.,Моя подруга завжди мені допомагає.,My friend always helps me.,Friendship,A1
Die Schule beginnt um acht Uhr.,Школа починається о восьмій годині.,School starts at eight o'clock.,Education & School,A1
Wir feiern eine Party am Samstag.,Ми святкуємо вечірку в суботу.,We are celebrating a party on Saturday.,Birthdays and Party Items,A1
Er trinkt gern kalte Limonade.,Він охоче п'є холодний лимонад.,He likes to drink cold lemonade.,Drinks and Beverages,A1
Mein Freund ist lustig und groß.,Мій друг веселий і великий.,My friend is funny and tall.,Friends Descriptions and Activities,A1
Die Katze schläft auf dem Sofa.,Кіт спить на дивані.,The cat is sleeping on the sofa.,Pets & Animals,A1
Wir machen Urlaub im Sommer.,Ми у відпустці влітку.,We are on vacation in the summer.,Holidays & Vacations,A1
Mein Bruder wohnt in Berlin.,Мій брат живе в Берліні.,My brother lives in Berlin.,Family Members and Relatives,A1
Ich bekomme ein Buch als Geschenk.,Я отримую книгу як подарунок.,I am getting a book as a present.,Gifts & Presents,A1
Der Tisch ist aus Holz.,Стіл зроблений з дерева.,The table is made of wood.,Furniture and Home Items,A1
Mein Kopf tut weh.,У мене болить голова.,My head hurts.,Body Parts and Descriptions,A1
Am Wochenende tanzen wir.,На вихідних ми танцюємо.,We dance on the weekend.,Weekend Activities,A1
Sie liest ein spannendes Buch.,Вона читає захоплюючу книгу.,She is reading an exciting book.,Books & Literature,A1
Mein Hobby ist das Malen.,Моє хобі - малювання.,My hobby is painting.,Hobbies & Free Time,A1
Ich backe einen leckeren Kuchen.,Я печу смачний пиріг.,I am baking a delicious cake.,Baking,A1
Zum Geburtstag gibt es Musik.,На день народження буде музика.,There is music for the birthday.,Birthdays and Party Items,A1
Die Küche ist sehr klein.,Кухня дуже маленька.,The kitchen is very small.,Rooms in the House and Apartment,A1
Das Geschenk ist sehr schön.,Подарунок дуже гарний.,The gift is very beautiful.,Gifts & Presents,A1
Der Hund spielt im Garten.,Собака грає в саду.,The dog is playing in the garden.,Pets & Animals,A1
Wir fahren in Urlaub.,Ми їдемо у відпустку.,We are going on vacation.,Holidays & Vacations,A1
Wir spielen zusammen Basketball.,Ми граємо разом в баскетбол.,We play basketball together.,Team Sports,A1
Ich mag kein Fast Food.,Я не люблю фаст-фуд.,I don't like fast food.,Fast Food,A1
Morgens stehe ich früh auf.,Вранці я рано встаю.,I get up early in the morning.,Daily Routine,A1
Es ist halb neun abends.,Зараз пів на дев'яту вечора.,It is half past eight in the evening.,Time of Day and Clocks,A1
Wo ist mein Schlüssel?,Де мій ключ?,Where is my key?,Daily Routine Items and Tools,A1
Der Ball ist blau.,М'яч синій.,The ball is blue.,Colors and Everyday Objects,A1
Die Katze trinkt Milch.,Кішка п'є молоко.,The cat is drinking milk.,Different Animals and Pets,A1
Ich habe am Montag Geburtstag.,У мене день народження в понеділок.,I have a birthday on Monday.,Birthdays,A1
Die Äpfel kosten zwei Euro.,Яблука коштують два євро.,The apples cost two euros.,Grocery Prices,A1
Mein Bruder spielt gern Fußball.,Мій брат любить грати у футбол.,My brother likes to play football.,"Family & Relationships, Sports & Games",A1
Am Samstag gehe ich schwimmen.,У суботу я йду плавати.,On Saturday I go swimming.,"Weekend Activities, Swimming & Water Sports",A1
Die Sonne scheint hell im Himmel.,Сонце яскраво світить на небі.,The sun shines brightly in the sky.,Nature Elements and Outdoors,A1
Ich habe braune Haare und blaue Augen.,У мене коричневе волосся та блакитні очі.,I have brown hair and blue eyes.,Body Parts and Descriptions,A1
"Heute ist mein Geburtstag, ich feiere.","Сьогодні мій день народження, я святкую.","Today is my birthday, I celebrate.","Birthdays and Party Items, Birthdays",A1
Wir spielen Basketball im Team.,Ми граємо в баскетбол в команді.,We play basketball as a team.,"Team Sports, Sports & Games",A1
Ich arbeite in einem Büro.,Я працюю в офісі.,I work in an office.,Work & Career,A1
Mein Hobby ist Gitarre spielen.,Моє хобі - гра на гітарі.,My hobby is playing guitar.,Hobbies & Free Time,A1
Er fährt mit dem Fahrrad.,Він їде на велосипеді.,He is riding a bicycle.,Bicycles & Cycling,A1
Sie bekommt schöne Geschenke.,Вона отримує гарні подарунки.,She receives nice presents.,Gifts & Presents,A1
Das Haus hat eine Tür.,У будинку є двері.,The house has a door.,Housing & Furniture,A1
Ich mache Sport für die Gesundheit.,Я займаюся спортом для здоров'я.,I do sports for health.,Health & Fitness,A1
Im Winter fällt viel Schnee.,Взимку випадає багато снігу.,"In winter, a lot of snow falls.",Weather & Seasons,A1
Die Tomaten kosten zwei Euro.,Помідори коштують два євро.,The tomatoes cost two euros.,Grocery Prices,A1
Ich esse eine süße Erdbeere.,Я їм солодку полуницю.,I am eating a sweet strawberry.,Fruits and Vegetables Variety,A1
Die Stadt ist sehr lebendig.,Місто дуже жваве.,The city is very lively.,City Life,A1
Das Auto fährt sehr schnell.,Машина їде дуже швидко.,The car drives very fast.,Driving & Cars,A1
Meine Hand ist am Arm.,Моя рука на руці.,My hand is on my arm.,Body Parts and Descriptions,A1
Der Kuchen hat viele Kerzen.,На торті багато свічок.,The cake has many candles.,Birthdays and Party Items,A1
Der Wind weht stark im Wald.,Вітер сильно дме в лісі.,The wind is blowing strongly in the forest.,Nature Elements and Outdoors,A1
Der Zug fährt nach Berlin.,Потяг їде до Берліна.,The train travels to Berlin.,Travel & Transport,A1
Meine Freundin hilft mir oft.,Моя подруга часто допомагає мені.,My girlfriend helps me often.,Friends Descriptions and Activities,A1
Wir haben einen Garten.,У нас є сад.,We have a garden.,Rooms in the House and Apartment,A1
Ich backe einen Kuchen.,Я печу торт.,I am baking a cake.,Baking,A1
Du putzt das Bad.,Ти прибираєш ванну.,You clean the bathroom.,Cleaning & Chores,A1
Er spielt gern Tennis.,Він любить грати в теніс.,He likes to play tennis.,Sports & Games,A1
Sie liest ein Buch.,Вона читає книгу.,She is reading a book.,Books & Literature,A1
Ich esse einen Burger.,Я їм бургер.,I am eating a burger.,Fast Food,A1
Heute ist es windig.,Сьогодні вітряно.,Today it is windy.,Weather & Seasons,A1
Der Tisch ist braun.,Стіл коричневий.,The table is brown.,Colors and Everyday Objects,A1
